,Text,Contact,Geo,IdentNumber,PersonName,OrigText
1847,Q: Cause you might come back latter. OK. How about neighbors? If uncle PersonName8's sitting in his front rocker on the porch down the street would you still consider doing the house?,[],[],[],"{'entity_group': 'PersonName8', 'score': 0.9924195408821106, 'word': 'charlie', 'start': 71, 'end': 78}",Q: Cause you might come back latter. OK. How about neighbors? If uncle Charlie's sitting in his front rocker on the porch down the street would you still consider doing the house?
1953,Q: PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9947924613952637, 'word': 'dope fiends', 'start': 3, 'end': 14}",Q: Dope fiends.
2024,Q: PersonName2,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9698265194892883, 'word': 'yeah', 'start': 3, 'end': 7}",Q: Yeah
2045,INT: PersonName2 name removedã.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9884385466575623, 'word': 'yeah agang', 'start': 5, 'end': 15}",INT: Yeah âgang name removedã.
2085,INT: PersonName2'. We be joannin' and you know.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9591636061668396, 'word': 'nothin', 'start': 5, 'end': 11}",INT: Nothin'. We be joannin' and you know.
2087,INT: PersonName36.,[],[],[],"{'entity_group': 'PersonName36', 'score': 0.995241641998291, 'word': ""joannin '"", 'start': 5, 'end': 13}",INT: Joannin'.
2271,Q: You say PersonName2'? So you all had started shooting up there,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9200724363327026, 'word': 'poppin', 'start': 11, 'end': 17}",Q: You say poppin'? So you all had started shooting up there
2276,INT: PersonName55.,[],[],[],"{'entity_group': 'PersonName55', 'score': 0.9446219205856323, 'word': 'uh nah, nope', 'start': 5, 'end': 17}","INT: Uh nah, nope."
2480,INT: PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9993895292282104, 'word': 'yeah, coke', 'start': 5, 'end': 15}","INT: Yeah, coke."
2967,"INT: PersonName2, long time ago.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9261093139648438, 'word': 'yeah', 'start': 5, 'end': 9}","INT: Yeah, long time ago."
3473,"INTERVIEW 007 - âMonth and PersonName13 removedã, 1989",[],[],[],"{'entity_group': 'PersonName13', 'score': 0.9062455892562866, 'word': 'day', 'start': 27, 'end': 30}","INTERVIEW 007 - âMonth and Day removedã, 1989"
3681,INT: PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9889877438545227, 'word': 'uh - huh, yeah', 'start': 5, 'end': 17}","INT: Uh-huh, yeah."
4118,INT: PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9685942530632019, 'word': 'yeah, uh - huh', 'start': 5, 'end': 17}","INT: Yeah, uh-huh."
4388,"Q: OK. The next morning Monday, what did you do? PersonName2's day.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9474692344665527, 'word': 'martin luther king', 'start': 49, 'end': 67}","Q: OK. The next morning Monday, what did you do? Martin Luther King's day."
4389,"INT: Uhm, woke up at about 9. Turned on the radio and listened to them talk 'bout PersonName2. Then I got a phone call from a friend of mine to make some money.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9890612959861755, 'word': 'martin luther king', 'start': 82, 'end': 100}","INT: Uhm, woke up at about 9. Turned on the radio and listened to them talk 'bout Martin Luther King. Then I got a phone call from a friend of mine to make some money."
4446,"INT: Not in the courts, nah. And the streets over there are like one way so they would have to come one way to get us. And we can see PersonName17'. So all we would have to do is move out and everybody on the courts is with us together. All we got to do is run in somebody's house and they would hide us.",[],[],[],"{'entity_group': 'PersonName17', 'score': 0.9378030896186829, 'word': 'em comin', 'start': 134, 'end': 142}","INT: Not in the courts, nah. And the streets over there are like one way so they would have to come one way to get us. And we can see em comin'. So all we would have to do is move out and everybody on the courts is with us together. All we got to do is run in somebody's house and they would hide us."
4460,"INT: Nah, they ain't really got nothin on them. Most they got is $50.00. I'll spend that up in 2 minutes. No since me even PersonName2' that.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9086548089981079, 'word': 'takin', 'start': 123, 'end': 128}","INT: Nah, they ain't really got nothin on them. Most they got is $50.00. I'll spend that up in 2 minutes. No since me even takin' that."
4476,"INT: Not unless it's real sweet and I see I can do that and walk away real quick. Otherwise all that other stuff you know, I can't handle it cause three convictions, one more they gon' loose me. They give you more time by your convictions. And I got some serious convictions. The only reason why I come out of there with them duces was I snatched them. And they didn't really have me but they was tellin' me well we'll offer you 20. They offered me 20 on the robbery and life on arson. Man I can't even count that far. I got two already and I took two on that. They didn't really have me cause I laid eighteen months on there waitin' on the arson. They said well we'll go lay it on him and send him. And I said run em consecutive cause you might get up there and have some of it did by the time you get there. Otherwise I wouldn't have to go. Cause I laid close to three years goin' to court on that. In the work house. Yeah. OK. I got out on the robbery. Two years on paper. Then I caught the arson. They snatched me off papers and locked be back down on that. So I had to go to parole then first. They took the papers on my robbery then I went to court on arson. And that was within close to three years on all that to get it all together. Come out of there. Get caught with a gun at a funeral. Police didn't really have me but when I was sellin' dope on âname removedã you know they knew me and couldn't get me. So they really give me that cause I threw the gun out the car. You know, they didn't know who did it cause it was three others in the car. We got down to the police station and they was PersonName2' and things and I said OK. so and so you got the gun case. I had 500 dollars in my pocket so I made bail so it didn't really make no difference. Police is somethin'. Man, I done had a life.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9235661029815674, 'word': 'drivin', 'start': 1601, 'end': 1607}","INT: Not unless it's real sweet and I see I can do that and walk away real quick. Otherwise all that other stuff you know, I can't handle it cause three convictions, one more they gon' loose me. They give you more time by your convictions. And I got some serious convictions. The only reason why I come out of there with them duces was I snatched them. And they didn't really have me but they was tellin' me well we'll offer you 20. They offered me 20 on the robbery and life on arson. Man I can't even count that far. I got two already and I took two on that. They didn't really have me cause I laid eighteen months on there waitin' on the arson. They said well we'll go lay it on him and send him. And I said run em consecutive cause you might get up there and have some of it did by the time you get there. Otherwise I wouldn't have to go. Cause I laid close to three years goin' to court on that. In the work house. Yeah. OK. I got out on the robbery. Two years on paper. Then I caught the arson. They snatched me off papers and locked be back down on that. So I had to go to parole then first. They took the papers on my robbery then I went to court on arson. And that was within close to three years on all that to get it all together. Come out of there. Get caught with a gun at a funeral. Police didn't really have me but when I was sellin' dope on âname removedã you know they knew me and couldn't get me. So they really give me that cause I threw the gun out the car. You know, they didn't know who did it cause it was three others in the car. We got down to the police station and they was drivin' and things and I said OK. so and so you got the gun case. I had 500 dollars in my pocket so I made bail so it didn't really make no difference. Police is somethin'. Man, I done had a life."
4594,"INT: Nine out of ten times people keep cash around the house just in case of an emergency or somethin'. Like everybody I know and other peoples keep emergency products. Then nine out of ten times they got a gun there to protect there home. Then when I'm goin through the dresser drawer of PersonName2' I might find shell boxes. They got a gun definitely and I'm gon' find it. See things lead to other things. Casings or maybe gun oil. If that's there then they got gun. Nine out of ten times they got it in the drawer in the closet or up under the bed. Search them three spots you got it, if they ain't got it there then under the bath tub. If it ain't there it most likely ain't in the house. Or maybe they got it down in the basement. I don't always go down there too tough cause they might have dogs or somethin'.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9831377863883972, 'word': 'somethin', 'start': 289, 'end': 297}","INT: Nine out of ten times people keep cash around the house just in case of an emergency or somethin'. Like everybody I know and other peoples keep emergency products. Then nine out of ten times they got a gun there to protect there home. Then when I'm goin through the dresser drawer of somethin' I might find shell boxes. They got a gun definitely and I'm gon' find it. See things lead to other things. Casings or maybe gun oil. If that's there then they got gun. Nine out of ten times they got it in the drawer in the closet or up under the bed. Search them three spots you got it, if they ain't got it there then under the bath tub. If it ain't there it most likely ain't in the house. Or maybe they got it down in the basement. I don't always go down there too tough cause they might have dogs or somethin'."
4620,"INT: Yeah, I scope em out cause I don't want to go in when nobody is there. Or find out when the kids get home. Cause I might be in there and the kids come home from school. I take that pencil and paper with me and I write it down anything I see. PersonName7 leave out six in the mornin' and go to work. Kids leave out 7: 30. No one else there. Kids be home 4: 00. PersonName6 and PersonName7 be home 5: 00. Bob might go out later on or maybe they stay in the house. But from that time on they there. So I got to work out a plan from that time they leave to when the kids come home. That's my latest number, when the kids come home. They earliest commin' so I got to hit it within that time. So I might been done scoped that and did what I'm goin do and then write what I'm goin' to do. Go do that go do this and do that and do this and come on out. So, 7 and 8 in the morning when the kids are gone, to make sure don't nobody come back I might hit it about 9 or 9: 30. 12: 00 I'm out of there.",[],[],[],"{'entity_group': 'PersonName7', 'score': 0.9111700654029846, 'word': 'bob and john', 'start': 247, 'end': 259}","INT: Yeah, I scope em out cause I don't want to go in when nobody is there. Or find out when the kids get home. Cause I might be in there and the kids come home from school. I take that pencil and paper with me and I write it down anything I see. Bob and John leave out six in the mornin' and go to work. Kids leave out 7: 30. No one else there. Kids be home 4: 00. Bob and John be home 5: 00. Bob might go out later on or maybe they stay in the house. But from that time on they there. So I got to work out a plan from that time they leave to when the kids come home. That's my latest number, when the kids come home. They earliest commin' so I got to hit it within that time. So I might been done scoped that and did what I'm goin do and then write what I'm goin' to do. Go do that go do this and do that and do this and come on out. So, 7 and 8 in the morning when the kids are gone, to make sure don't nobody come back I might hit it about 9 or 9: 30. 12: 00 I'm out of there."
4620,"INT: Yeah, I scope em out cause I don't want to go in when nobody is there. Or find out when the kids get home. Cause I might be in there and the kids come home from school. I take that pencil and paper with me and I write it down anything I see. PersonName7 leave out six in the mornin' and go to work. Kids leave out 7: 30. No one else there. Kids be home 4: 00. PersonName6 and PersonName7 be home 5: 00. Bob might go out later on or maybe they stay in the house. But from that time on they there. So I got to work out a plan from that time they leave to when the kids come home. That's my latest number, when the kids come home. They earliest commin' so I got to hit it within that time. So I might been done scoped that and did what I'm goin do and then write what I'm goin' to do. Go do that go do this and do that and do this and come on out. So, 7 and 8 in the morning when the kids are gone, to make sure don't nobody come back I might hit it about 9 or 9: 30. 12: 00 I'm out of there.",[],[],[],"{'entity_group': 'PersonName6', 'score': 0.9628163576126099, 'word': 'bob', 'start': 366, 'end': 369}","INT: Yeah, I scope em out cause I don't want to go in when nobody is there. Or find out when the kids get home. Cause I might be in there and the kids come home from school. I take that pencil and paper with me and I write it down anything I see. Bob and John leave out six in the mornin' and go to work. Kids leave out 7: 30. No one else there. Kids be home 4: 00. Bob and John be home 5: 00. Bob might go out later on or maybe they stay in the house. But from that time on they there. So I got to work out a plan from that time they leave to when the kids come home. That's my latest number, when the kids come home. They earliest commin' so I got to hit it within that time. So I might been done scoped that and did what I'm goin do and then write what I'm goin' to do. Go do that go do this and do that and do this and come on out. So, 7 and 8 in the morning when the kids are gone, to make sure don't nobody come back I might hit it about 9 or 9: 30. 12: 00 I'm out of there."
4620,"INT: Yeah, I scope em out cause I don't want to go in when nobody is there. Or find out when the kids get home. Cause I might be in there and the kids come home from school. I take that pencil and paper with me and I write it down anything I see. PersonName7 leave out six in the mornin' and go to work. Kids leave out 7: 30. No one else there. Kids be home 4: 00. PersonName6 and PersonName7 be home 5: 00. Bob might go out later on or maybe they stay in the house. But from that time on they there. So I got to work out a plan from that time they leave to when the kids come home. That's my latest number, when the kids come home. They earliest commin' so I got to hit it within that time. So I might been done scoped that and did what I'm goin do and then write what I'm goin' to do. Go do that go do this and do that and do this and come on out. So, 7 and 8 in the morning when the kids are gone, to make sure don't nobody come back I might hit it about 9 or 9: 30. 12: 00 I'm out of there.",[],[],[],"{'entity_group': 'PersonName7', 'score': 0.9621726274490356, 'word': 'john', 'start': 374, 'end': 378}","INT: Yeah, I scope em out cause I don't want to go in when nobody is there. Or find out when the kids get home. Cause I might be in there and the kids come home from school. I take that pencil and paper with me and I write it down anything I see. Bob and John leave out six in the mornin' and go to work. Kids leave out 7: 30. No one else there. Kids be home 4: 00. Bob and John be home 5: 00. Bob might go out later on or maybe they stay in the house. But from that time on they there. So I got to work out a plan from that time they leave to when the kids come home. That's my latest number, when the kids come home. They earliest commin' so I got to hit it within that time. So I might been done scoped that and did what I'm goin do and then write what I'm goin' to do. Go do that go do this and do that and do this and come on out. So, 7 and 8 in the morning when the kids are gone, to make sure don't nobody come back I might hit it about 9 or 9: 30. 12: 00 I'm out of there."
4659,"INT: The area that looks like it's got money in it. Like the area I'm in where I live at, they like about the same thing I'm standing' on. Nothin'. So I ain't gon' do nothin' there I'm goin' over some where were they standing' a little stronger by their cars. PersonName2, PersonName18, I'm goin' there. You can mostly tell by the area by the houses and the cars.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9563140273094177, 'word': 'cadillac, elderado', 'start': 260, 'end': 278}","INT: The area that looks like it's got money in it. Like the area I'm in where I live at, they like about the same thing I'm standing' on. Nothin'. So I ain't gon' do nothin' there I'm goin' over some where were they standing' a little stronger by their cars. Cadillac, Elderado, Fleetwood, I'm goin' there. You can mostly tell by the area by the houses and the cars."
4659,"INT: The area that looks like it's got money in it. Like the area I'm in where I live at, they like about the same thing I'm standing' on. Nothin'. So I ain't gon' do nothin' there I'm goin' over some where were they standing' a little stronger by their cars. PersonName2, PersonName18, I'm goin' there. You can mostly tell by the area by the houses and the cars.",[],[],[],"{'entity_group': 'PersonName18', 'score': 0.9024950861930847, 'word': 'fleetwood', 'start': 280, 'end': 289}","INT: The area that looks like it's got money in it. Like the area I'm in where I live at, they like about the same thing I'm standing' on. Nothin'. So I ain't gon' do nothin' there I'm goin' over some where were they standing' a little stronger by their cars. Cadillac, Elderado, Fleetwood, I'm goin' there. You can mostly tell by the area by the houses and the cars."
4677,INT: I'll check it first and knock on the door and ask for PersonName53 or PersonName6. Cause the car might be broke. So you just got to stay there.,[],[],[],"{'entity_group': 'PersonName53', 'score': 0.9788107872009277, 'word': 'suzzy', 'start': 59, 'end': 64}",INT: I'll check it first and knock on the door and ask for Suzzy or Bob. Cause the car might be broke. So you just got to stay there.
4677,INT: I'll check it first and knock on the door and ask for PersonName53 or PersonName6. Cause the car might be broke. So you just got to stay there.,[],[],[],"{'entity_group': 'PersonName6', 'score': 0.9036524295806885, 'word': 'bob', 'start': 68, 'end': 71}",INT: I'll check it first and knock on the door and ask for Suzzy or Bob. Cause the car might be broke. So you just got to stay there.
4691,"INT: Yeah, up in jail. Listening to the old heads. A person my age can't really tell me too much. But I'll listen to him cause he done had a different experience than I had. Just in case I want to get off to doin somethin' different, I'm listening to someone that done been through it already. You know, sayin' do this or don't do that, go this way and that way. You know I'm listening to them to see how they do things so when I get back out there I can do those things and then I get away. Cause he know what he talkin' about then, cause he done been through it. That's all you do when you in jail is listening to the PersonName2 man, tellin you all the stories they been through. How they did it and how they got caught. So you pay attention to that so when you get out you don't make that same mistake.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9179732203483582, 'word': 'burglary', 'start': 620, 'end': 628}","INT: Yeah, up in jail. Listening to the old heads. A person my age can't really tell me too much. But I'll listen to him cause he done had a different experience than I had. Just in case I want to get off to doin somethin' different, I'm listening to someone that done been through it already. You know, sayin' do this or don't do that, go this way and that way. You know I'm listening to them to see how they do things so when I get back out there I can do those things and then I get away. Cause he know what he talkin' about then, cause he done been through it. That's all you do when you in jail is listening to the burglary man, tellin you all the stories they been through. How they did it and how they got caught. So you pay attention to that so when you get out you don't make that same mistake."
4697,"INT: Ummm, yeah, OK. were was we at? I think we was in the county at first. And the people come home on us. We was up there at the door knockin' and didn't nobody come so we had the thang in the door doin' like this and they said hey, what you all want up there. I ease the thang out and put it in my pocket. I said is PersonName22 home? PersonName22 don't live here. I said OK. I'm sorry. Do you know if he lives next door or over here? She said nah, I don't know em. I said OK. thanks a lot and go on next door like I'm still lookin' for George. Two doors down and no George, people went in the house and I'm gone, you know. Can't do that now. That's about the closest I done came to not doin' one.",[],[],[],"{'entity_group': 'PersonName22', 'score': 0.9490056037902832, 'word': 'george', 'start': 319, 'end': 325}","INT: Ummm, yeah, OK. were was we at? I think we was in the county at first. And the people come home on us. We was up there at the door knockin' and didn't nobody come so we had the thang in the door doin' like this and they said hey, what you all want up there. I ease the thang out and put it in my pocket. I said is George home? George don't live here. I said OK. I'm sorry. Do you know if he lives next door or over here? She said nah, I don't know em. I said OK. thanks a lot and go on next door like I'm still lookin' for George. Two doors down and no George, people went in the house and I'm gone, you know. Can't do that now. That's about the closest I done came to not doin' one."
4697,"INT: Ummm, yeah, OK. were was we at? I think we was in the county at first. And the people come home on us. We was up there at the door knockin' and didn't nobody come so we had the thang in the door doin' like this and they said hey, what you all want up there. I ease the thang out and put it in my pocket. I said is PersonName22 home? PersonName22 don't live here. I said OK. I'm sorry. Do you know if he lives next door or over here? She said nah, I don't know em. I said OK. thanks a lot and go on next door like I'm still lookin' for George. Two doors down and no George, people went in the house and I'm gone, you know. Can't do that now. That's about the closest I done came to not doin' one.",[],[],[],"{'entity_group': 'PersonName22', 'score': 0.9683812260627747, 'word': 'george', 'start': 332, 'end': 338}","INT: Ummm, yeah, OK. were was we at? I think we was in the county at first. And the people come home on us. We was up there at the door knockin' and didn't nobody come so we had the thang in the door doin' like this and they said hey, what you all want up there. I ease the thang out and put it in my pocket. I said is George home? George don't live here. I said OK. I'm sorry. Do you know if he lives next door or over here? She said nah, I don't know em. I said OK. thanks a lot and go on next door like I'm still lookin' for George. Two doors down and no George, people went in the house and I'm gone, you know. Can't do that now. That's about the closest I done came to not doin' one."
4787,"INT: Well a lot of people were starting to say they were in the neighborhood asking questions. I know a guy who works for the city and he's really a dirty cop you know. We call him PersonName2. He'd tell you information that they had on you and stuff and I was pretty glad to know him. Actually how it happened is he dates my ârelative removedã. My ârelative PersonName2 works at uh, whats the minimum security institution? The work house. Yeah, she works there and she met him through the processes there and datin' and so forth. They got computers they got access to all that. And uh, he'll tell you sometimes if they think you done somethin' or they might even come by and question you and take it and use it, you know. But uh, he told me that he didn't know anything about it. He said that if they are it's got to be somethin' real recent that haven't even been programmed yet. You know like within the last 24 hours. Like every day they have the day before's report. OK. They have that day then the second day is like you stole the car then you got 24 hours to drive it before you get busted. Cause that's's when it hits the hot sheet.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9915155172348022, 'word': 'aname removeda', 'start': 181, 'end': 195}","INT: Well a lot of people were starting to say they were in the neighborhood asking questions. I know a guy who works for the city and he's really a dirty cop you know. We call him âname removedã. He'd tell you information that they had on you and stuff and I was pretty glad to know him. Actually how it happened is he dates my ârelative removedã. My ârelative removedã works at uh, whats the minimum security institution? The work house. Yeah, she works there and she met him through the processes there and datin' and so forth. They got computers they got access to all that. And uh, he'll tell you sometimes if they think you done somethin' or they might even come by and question you and take it and use it, you know. But uh, he told me that he didn't know anything about it. He said that if they are it's got to be somethin' real recent that haven't even been programmed yet. You know like within the last 24 hours. Like every day they have the day before's report. OK. They have that day then the second day is like you stole the car then you got 24 hours to drive it before you get busted. Cause that's's when it hits the hot sheet."
4787,"INT: Well a lot of people were starting to say they were in the neighborhood asking questions. I know a guy who works for the city and he's really a dirty cop you know. We call him PersonName2. He'd tell you information that they had on you and stuff and I was pretty glad to know him. Actually how it happened is he dates my ârelative removedã. My ârelative PersonName2 works at uh, whats the minimum security institution? The work house. Yeah, she works there and she met him through the processes there and datin' and so forth. They got computers they got access to all that. And uh, he'll tell you sometimes if they think you done somethin' or they might even come by and question you and take it and use it, you know. But uh, he told me that he didn't know anything about it. He said that if they are it's got to be somethin' real recent that haven't even been programmed yet. You know like within the last 24 hours. Like every day they have the day before's report. OK. They have that day then the second day is like you stole the car then you got 24 hours to drive it before you get busted. Cause that's's when it hits the hot sheet.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9153950810432434, 'word': 'removeda', 'start': 362, 'end': 370}","INT: Well a lot of people were starting to say they were in the neighborhood asking questions. I know a guy who works for the city and he's really a dirty cop you know. We call him âname removedã. He'd tell you information that they had on you and stuff and I was pretty glad to know him. Actually how it happened is he dates my ârelative removedã. My ârelative removedã works at uh, whats the minimum security institution? The work house. Yeah, she works there and she met him through the processes there and datin' and so forth. They got computers they got access to all that. And uh, he'll tell you sometimes if they think you done somethin' or they might even come by and question you and take it and use it, you know. But uh, he told me that he didn't know anything about it. He said that if they are it's got to be somethin' real recent that haven't even been programmed yet. You know like within the last 24 hours. Like every day they have the day before's report. OK. They have that day then the second day is like you stole the car then you got 24 hours to drive it before you get busted. Cause that's's when it hits the hot sheet."
4858,"INT: From PersonName2, about $75 bucks.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9685827493667603, 'word': 'aname removeda', 'start': 10, 'end': 24}","INT: From âname removedã, about $75 bucks."
5060,"INT: I guess, just PersonName19'.",[],[],[],"{'entity_group': 'PersonName19', 'score': 0.9798687100410461, 'word': 'gamblin', 'start': 19, 'end': 26}","INT: I guess, just gamblin'."
5068,"INT: I don't do it for enjoyment, just basically for the cash. And I use it for enjoyment but uh, I don't get a thrill out of PersonName47, you know.",[],[],[],"{'entity_group': 'PersonName47', 'score': 0.9784433841705322, 'word': 'robbin', 'start': 126, 'end': 132}","INT: I don't do it for enjoyment, just basically for the cash. And I use it for enjoyment but uh, I don't get a thrill out of robbin, you know."
5153,"INT: Yeah, when I was in the service. Nah, I steal committed crimes in the service, I don't want to tell no lie. Nah, I never had no times when I didn't do no kind of crime. I always did something to get me some money. You be surprise how vulnerable people are. You know you could tell there's something that sound good and they'll go for it. Like onetime me and my partner sold this girl a brick in a newspaper. Cause she thought she had her some PersonName2 or some Jordache. No, I'm puttin' it in the bag and tellin' her don't look in the bag 'til you get on the bus.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9257818460464478, 'word': 'calvin klein jeans', 'start': 448, 'end': 466}","INT: Yeah, when I was in the service. Nah, I steal committed crimes in the service, I don't want to tell no lie. Nah, I never had no times when I didn't do no kind of crime. I always did something to get me some money. You be surprise how vulnerable people are. You know you could tell there's something that sound good and they'll go for it. Like onetime me and my partner sold this girl a brick in a newspaper. Cause she thought she had her some Calvin Klein Jeans or some Jordache. No, I'm puttin' it in the bag and tellin' her don't look in the bag 'til you get on the bus."
5191,INT: PersonName31.,[],[],[],"{'entity_group': 'PersonName31', 'score': 0.9487188458442688, 'word': 'i swear', 'start': 5, 'end': 12}",INT: I swear.
5199,"INT: You go back to one place too many times and you be known. You know like say for instance about like in PersonName2, I break in his house tonight. In the mornin' I break in yours. About two weeks later I break in somebody else's. Then another week I break in somebody else's. I run this same neighborhood, they gon' start watchin' for you. They use common sense. They will start watchin' for you. So you don't go there no more. Find a new neighborhood and go somewhere else. Look around and look for the sweet ones you know. You find them, cause they out there.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9697326421737671, 'word': 'aname removeda', 'start': 108, 'end': 122}","INT: You go back to one place too many times and you be known. You know like say for instance about like in âname removedã, I break in his house tonight. In the mornin' I break in yours. About two weeks later I break in somebody else's. Then another week I break in somebody else's. I run this same neighborhood, they gon' start watchin' for you. They use common sense. They will start watchin' for you. So you don't go there no more. Find a new neighborhood and go somewhere else. Look around and look for the sweet ones you know. You find them, cause they out there."
5346,"INT: Sweet. What they call lookin' sweet, like when you walk in a store and you walk around and you look and see who in the store and you say PersonName2, ain't nobody in there watchin' this stuff. Like in that area I went in and looked around and I said PersonName2 he's back in the back way over there. Just go in and get it. You know, the area just looked good, you know it looked like you won't be seen. It looked that way.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.942173421382904, 'word': 'damn', 'start': 142, 'end': 146}","INT: Sweet. What they call lookin' sweet, like when you walk in a store and you walk around and you look and see who in the store and you say damn, ain't nobody in there watchin' this stuff. Like in that area I went in and looked around and I said damn he's back in the back way over there. Just go in and get it. You know, the area just looked good, you know it looked like you won't be seen. It looked that way."
5346,"INT: Sweet. What they call lookin' sweet, like when you walk in a store and you walk around and you look and see who in the store and you say PersonName2, ain't nobody in there watchin' this stuff. Like in that area I went in and looked around and I said PersonName2 he's back in the back way over there. Just go in and get it. You know, the area just looked good, you know it looked like you won't be seen. It looked that way.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9804351329803467, 'word': 'damn', 'start': 248, 'end': 252}","INT: Sweet. What they call lookin' sweet, like when you walk in a store and you walk around and you look and see who in the store and you say damn, ain't nobody in there watchin' this stuff. Like in that area I went in and looked around and I said damn he's back in the back way over there. Just go in and get it. You know, the area just looked good, you know it looked like you won't be seen. It looked that way."
